Season,Team,G,S,PIM,Avg Age,+/-,OPS,DPS,g_1,g_2,g_3,a_1,a_2,a_3
2024,ANA,-1.5271319490964637,-1.5361350040780293,0.923746642752827,-0.8175562040913357,-1.5595264097170327,-1.5370278306109055,-2.043269740393303,-1.1875810750291125,-0.8218522108463054,-0.8738717533672182,-0.8767943434351854,-0.5861021668286289,-0.6854591092610867
2024,ARI,0.004285683673797372,-0.6361500670767776,2.265051085572311,-0.9123453292033762,-0.7239711220517658,-0.5215166602310343,-0.6599983662438585,-0.3752343677279691,-0.6066372292826252,0.08400756082093673,-0.5448610148815339,-0.023669059915910853,0.39575799781619175
2024,BOS,0.07285662245455533,-0.1275871502951179,0.26845286916162864,0.8886480479253678,2.0242224412847767,0.5569022817652887,1.4349561061998646,2.1041154785140614,0.17889745342480887,-0.8120730879357243,-0.09825980919116573,0.2762952637708726,0.9864228989047059
2024,BUF,1.0328497653851667,1.0638214805922535,-0.43803573049138217,-1.6706583300996907,-0.08424910493304573,0.9792830340471822,-0.269073847462494,0.9109812521655073,0.8675853944285866,1.5826251975346637,0.3362710936427054,0.04382291291361542,0.6360284660555874
2024,CAR,-0.15571317348130453,1.0295363401350628,0.8725518166910147,0.7938589228133305,0.9340839019089985,-0.00028083826614462044,1.735667274493222,-1.3060483031771954,-1.3491289156773227,-1.8317510675553728,-0.9914622205719016,-0.548606626367781,-0.885684499460583
2024,CBJ,-0.86427954088247,-0.4532959846384281,-1.4004984604534547,-1.6706583300996907,-2.4277205758067244,-1.1595812009121924,-1.4217999925870306,-0.8067935559817013,-0.25153250970255203,0.23850422439967156,-0.15861132347364792,-0.39112535643221974,-1.0258422726002305
2024,CGY,-0.6128527653530242,0.586686609229685,0.7189673385055776,0.41470242236517163,0.3531118659542425,-0.4496220640979463,0.542846306929571,-1.7122216568277673,-1.4029326610682429,-1.2601134123140545,-0.9854270691436533,-0.6835905720268336,-0.5052562580815405
2024,CHI,-1.6414168470643935,-1.8818435036880339,-0.6530539999509941,0.035545921917016055,-1.4485542230739896,-1.8965008112763466,-1.6122503991728236,-1.6191402632828447,-1.5428223990846353,-1.3064624113876748,-1.9993325090893537,-1.8684496505896273,-1.8467663724181649
2024,COL,0.7357090306685489,0.7866832618966298,0.4527542429841532,0.69906979770129,0.8231117152659552,1.0242171566303624,0.7032255966860285,1.486393503170484,2.0082247967160933,-0.19408643362078506,1.7122856192832983,1.6486320446379052,0.7861975087052095
2024,DAL,1.6499882144119884,1.0952495260113446,-0.7042488260128065,0.8886480479253678,1.4040837512207112,1.5903871011784319,1.2846005220531858,0.5555795677212577,1.0935611250704516,0.9491888768618517,0.5837123022008824,1.2811757481215962,0.6660622745855118
2024,DET,0.6671380918877909,0.8981099683824991,0.6984894080808526,0.035545921917016055,-0.6652211408878017,0.29628437078284403,0.5328226013197923,-0.8067935559817013,-0.8218522108463054,-0.3485830971995199,-0.6052125291640161,-0.9085638147919212,-0.8055943433807845
2024,EDM,1.5128463368504723,0.5981149893820819,-0.6428150347386317,0.5094915474772121,1.0385283128671567,1.9588469063605092,0.2621825498557711,2.40874549375199,2.6323482432507674,1.7834708601870188,2.3942577306753465,2.6460134208964594,2.8585302972699944
2024,FLA,0.23285547960965722,0.5695440390010897,0.35036459086052846,0.22512417214109384,0.2747785577356237,0.07161375786694335,-0.5697850157558514,0.20017788327700733,1.0828003759922675,0.5783968842728882,1.114805627886725,1.5886391799005493,-0.9257295775004822
2024,LAK,0.004285683673797372,0.03241017183843793,-0.35612400879248235,-0.15403232830706173,0.46408405259728575,-0.07217543439923323,0.2120640218068775,0.039400930790322614,-0.3806614986407605,0.006759229031570184,0.13107594508226597,-0.2711396269575064,-0.004692782582799758
2024,MIN,-0.47571088779150833,-0.4618672697527257,1.6097573119811128,0.69906979770129,-0.0059157967144269396,-0.7641609221802073,-0.07862344087670116,0.8602095829591857,-0.24077176062436798,-0.7039254234306099,-0.6715991948747466,-0.5636048425521202,-0.44518864102169164
2024,MTL,-1.161420275599088,-1.6561329956781963,0.6984894080808526,-1.8602365803237684,-0.8153599816401543,-1.1775548499454644,-1.2614207028305733,0.5894273471921379,0.0712899626429685,-0.3640327635573934,-0.8828294948634337,-0.8185745176858862,-0.9157183079905075
2024,NJD,1.3071335205081986,1.138105951582833,-0.9295060606847809,-1.1967127045394945,1.0711671912915814,1.1500326998632666,0.3423721947339995,0.47096011904405527,1.1581256195395557,1.1500345395142062,0.1793571565082517,0.2762952637708726,0.7361411611553356
2024,NSH,-1.20713423478626,-0.8075757693627303,-0.11038884369578293,-0.05924320319502452,-0.2148046186307437,-0.9079501144463835,0.1018032600993137,-0.9760324533361062,-0.7788092145335692,-0.5957777589254956,-0.4603688948860589,-0.6535941396581553,-0.37510975445186795
2024,NYI,1.3071335205081986,1.0895353359351463,0.0841514953391041,0.69906979770129,0.7382506313624515,0.5389286327320171,1.3447427557118574,-0.12137602169636211,0.3618301877539375,0.006759229031570184,-0.3034549577516052,-0.9085638147919212,-0.6954703787710615
2024,NYR,1.1242776837595108,1.0266792450969635,-0.06943298284633304,0.3199132972531344,1.156028275195085,1.0961117527634503,1.6053591015661006,-0.16368574603496336,0.5447629220830661,0.2076048916839246,0.4811147279206627,1.0112078568034912,1.0264679769446052
2024,OTT,-0.17857015307489052,0.5295447084677007,1.7531028249541876,-1.481080079875613,-0.7435544491064204,0.2872975462662079,-0.36931090356027985,0.039400930790322614,0.23270119881572907,1.335430535808688,-0.20689253489963366,-0.09116103274543713,0.05537483447704914
2024,PHI,-1.3671330919413618,-1.7247032765925772,0.14558528661327894,-1.2915018296515317,-0.4041101134924058,-1.5100673570609977,-0.770259127951423,0.18325399354156682,-0.5851157311262571,-1.630905404903018,-1.1363058548498588,-1.9809362719721708,-1.9869241455578117
2024,PIT,1.1242776837595108,1.3581022695164722,-0.24349539145649512,2.689641425054115,-0.2539712727400531,0.9972566830804539,0.07173214326997754,-0.28215297418304636,-0.03631752813887128,0.006759229031570184,1.440703805012129,1.0112078568034912,1.5170201829333712
2024,SEA,0.552853193919861,0.046695647028933994,-0.4175578000666572,1.362593673485564,0.8361672666357249,0.48500768563220076,0.43258554522200654,0.0901725999966441,-1.1339139341136424,-0.6884757570727364,-0.4301931377448178,-0.49611286972259394,-0.07477166915262347
2024,SJS,-2.464268112433489,-2.1332678670407645,-1.4824101821523545,-0.7227670789792984,-1.624804166565882,-2.193066020325336,-1.7626059833195022,-1.8391508298435706,-1.9840131112901807,-2.032596730207728,-1.0216379777131426,-0.9460593552527691,-1.396259244469298
2024,STL,-0.0414282755133746,-0.5590085010480988,-1.4107374256658174,-0.15403232830706173,-1.10258211177509,0.17046882754993978,-1.3516340533185807,-0.23138130497672485,0.3725909368321215,1.1191352067984592,-0.22499798918437833,0.3512863446925684,0.05537483447704914
2024,TBL,0.41571131635834513,0.7495410264013401,2.131944537811599,0.6042806725892528,0.35963964163912737,0.34121849336602417,0.3523959003437782,1.0717582046521918,0.1573759552684408,0.4547995534099003,1.953691676413227,0.6512506683793519,0.8562763952750333
2024,TOR,0.4385682959519311,0.398118336715137,-0.7759215824993438,0.69906979770129,0.43144517417286127,0.8804279643641858,0.462656662051342,0.38634067036685277,0.8891068925849548,1.690772862039778,1.0484189621759947,0.08131845337446335,0.4157805368361414
2024,VAN,0.4385682959519311,0.18383620885769617,-0.1615836697575953,-0.4383997036431801,-0.2082768429458588,0.48500768563220076,-0.10869455770603662,-0.062142407622320366,0.8137816490376665,0.8410412123567373,1.1872274450257037,1.431157909964988,0.8562763952750333
2024,VEG,-0.08714223470054656,-0.09044491479982818,-1.2264360518432926,-0.05924320319502452,1.1233893967706605,-0.08116225891586938,0.7132493022958065,-0.7814077213785405,-0.11164277168615953,0.42390022069415334,-0.5026149548837965,0.021325588637106662,0.5759608489957384
2024,WPG,0.09571360204814132,0.19812168404819222,-0.6837708955880816,-0.15403232830706173,0.13116749266815594,-0.14407003053232117,0.9738656481500497,0.20017788327700733,-0.29457550601528815,0.3775512216205329,0.4871498793489109,0.00632737245276749,0.4658368843860155
2024,WSH,-0.932850479663228,-1.3104244960681917,-1.2673919126927427,1.0782262981494488,-0.8806377384890034,-0.49455618668112644,-0.8304013616100946,0.6740467958693402,-0.12240352076434358,-0.19408643362078506,-0.949216160574164,-0.5861021668286289,-0.31504213739201903
