,Team,Season,Goals For,Total Shots,Total PIM,Avg Age,Team +/-,Sum OPS,Sum DPS,Highest Scorer PTS,Highest G,Highest A,GP,Playoffs
272,BOS,2015,209,2546,764,26.2,62,34.2,40.7,55,24,32,82,0
282,BUF,2015,153,1984,833,25.4,-419,11.3,20.0,46,20,28,82,0
295,CAR,2015,183,2524,537,26.0,-270,23.1,37.4,54,23,34,82,0
275,CBJ,2015,227,2366,966,25.9,-93,42.2,27.5,73,31,45,82,0
299,CGY,2015,237,2252,608,25.9,45,46.8,39.8,76,31,45,81,1
294,CHI,2015,220,2777,570,26.8,114,38.8,46.9,66,28,39,82,1
298,COL,2015,209,2286,753,26.5,-70,34.5,34.2,59,29,41,82,0
274,DAL,2015,257,2558,771,27.1,-48,54.8,25.9,87,37,52,82,0
286,DET,2015,231,2429,702,27.7,14,43.300000000000004,38.2,66,29,49,82,1
276,EDM,2015,193,2331,667,25.3,-371,27.4,18.7,63,24,39,82,0
279,FLA,2015,198,2516,715,27.8,-21,29.8,37.3,54,24,39,82,0
288,LAK,2015,218,2536,734,27.2,79,38.3,44.199999999999996,64,28,48,82,0
277,MIN,2015,227,2522,714,27.3,106,41.8,44.5,62,33,36,82,1
281,MTL,2015,214,2334,821,27.1,145,37.0,47.5,67,37,45,82,1
270,NJD,2015,176,2008,746,29.2,-115,20.900000000000002,38.9,43,27,27,82,0
297,NSH,2015,226,2614,683,27.0,123,41.6,43.0,63,26,47,82,1
283,NYI,2015,245,2771,682,26.6,81,49.4,35.6,86,38,48,82,1
278,NYR,2015,248,2582,696,27.2,276,51.1,46.9,69,42,41,82,1
292,OTT,2015,232,2539,821,25.9,100,43.7,38.4,66,27,45,82,1
289,PHI,2015,212,2413,809,26.8,-52,35.5,33.5,81,28,59,82,0
285,PIT,2015,217,2594,1099,27.3,26,38.3,41.8,84,28,56,82,1
290,SJS,2015,224,2591,750,26.7,-64,40.5,34.1,70,37,49,82,0
284,STL,2015,239,2535,890,28.2,138,46.300000000000004,45.0,73,37,40,81,1
280,TBL,2015,259,2428,794,26.0,207,55.0,41.4,72,43,47,82,1
271,TOR,2015,206,2397,813,26.7,-238,33.3,24.2,61,27,36,82,0
287,VAN,2015,236,2453,860,26.9,31,46.7,37.1,76,31,56,82,1
273,WPG,2015,223,2439,1054,26.3,114,41.699999999999996,42.6,62,26,38,82,1
291,WSH,2015,237,2419,847,27.0,126,46.0,43.5,81,53,60,82,1
323,ANA,2016,215,2483,1005,26.6,31,37.1,47.2,63,34,50,82,1
326,ARI,2016,208,2265,999,26.7,-96,33.5,29.900000000000002,55,28,34,82,0
302,BOS,2016,236,2620,919,27.1,20,45.1,34.5,68,37,46,82,0
312,BUF,2016,199,2418,731,25.2,-144,28.900000000000002,36.4,60,24,39,82,0
325,CAR,2016,196,2451,544,25.3,-167,28.1,37.1,51,28,28,82,0
305,CBJ,2016,213,2387,981,25.3,-133,35.3,27.5,53,31,32,82,0
329,CGY,2016,229,2398,740,25.9,-104,42.5,26.1,78,30,48,82,0
324,CHI,2016,234,2498,581,27.1,57,44.5,40.1,106,46,60,82,1
328,COL,2016,212,2348,754,26.6,-141,35.0,30.099999999999998,59,30,39,82,0
304,DAL,2016,265,2624,701,26.5,106,56.8,35.0,89,41,48,82,1
316,DET,2016,209,2432,700,27.2,-56,33.1,36.1,50,23,37,82,1
306,EDM,2016,199,2386,776,25.8,-206,29.4,29.3,65,26,39,82,0
309,FLA,2016,232,2358,829,26.9,182,43.3,42.7,66,28,42,82,1
318,LAK,2016,223,2625,856,27.5,158,40.4,46.9,74,31,49,82,1
307,MIN,2016,213,2374,525,26.4,29,35.7,42.6,56,25,43,82,1
311,MTL,2016,216,2504,764,25.8,-78,37.3,33.2,64,30,45,82,0
300,NJD,2016,182,2003,798,26.2,-147,22.6,41.699999999999996,57,30,28,82,0
327,NSH,2016,224,2507,794,26.4,34,40.2,40.8,64,33,47,82,1
313,NYI,2016,227,2412,694,26.7,32,41.0,38.5,70,33,42,81,1
308,NYR,2016,233,2336,698,27.7,137,43.6,38.2,61,27,42,82,1
322,OTT,2016,230,2325,880,25.9,20,42.300000000000004,28.2,82,29,66,82,0
319,PHI,2016,211,2540,956,27.3,-16,34.4,37.9,67,32,45,82,1
315,PIT,2016,241,2722,687,26.8,165,47.300000000000004,42.5,85,36,51,82,1
320,SJS,2016,237,2491,707,27.4,49,45.7,42.1,82,38,63,82,1
314,STL,2016,219,2474,847,27.2,46,38.3,43.3,74,40,39,82,1
310,TBL,2016,224,2402,795,25.9,87,40.1,43.300000000000004,66,36,37,81,1
301,TOR,2016,192,2515,724,25.4,-186,26.9,29.3,45,20,28,82,0
317,VAN,2016,186,2311,803,26.5,-229,23.8,29.5,61,28,44,82,0
303,WPG,2016,212,2427,910,25.1,-32,35.4,32.0,78,29,52,82,0
321,WSH,2016,248,2510,739,26.8,190,49.7,46.1,77,50,57,82,1
353,ANA,2017,220,2425,924,26.3,96,37.6,45.7,73,33,58,82,1
356,ARI,2017,191,2281,795,25.3,-235,25.3,26.0,55,20,35,82,0
332,BOS,2017,232,2721,817,26.4,17,41.5,43.3,85,39,46,82,1
342,BUF,2017,199,2491,725,24.9,-183,27.8,32.4,57,28,39,82,0
355,CAR,2017,212,2493,450,25.7,-144,32.8,35.5,63,37,34,82,0
335,CBJ,2017,247,2540,706,25.1,217,48.0,46.1,62,35,46,82,1
359,CGY,2017,222,2388,940,26.0,-12,38.0,39.7,61,27,43,82,1
354,CHI,2017,240,2508,566,27.7,162,45.2,40.6,89,34,55,82,1
358,COL,2017,165,2303,747,26.0,-410,14.2,21.5,53,20,37,82,0
334,DAL,2017,222,2505,790,26.8,-91,37.6,27.3,72,26,46,82,0
346,DET,2017,198,2335,702,26.8,-187,26.9,31.7,68,25,51,82,0
336,EDM,2017,243,2547,724,25.6,98,46.199999999999996,41.5,100,30,70,82,1
339,FLA,2017,205,2644,797,26.9,-184,30.599999999999998,33.5,54,30,36,82,0
348,LAK,2017,199,2553,736,28.1,-74,28.3,46.4,66,32,40,82,0
337,MIN,2017,263,2527,653,26.3,231,54.6,42.6,69,28,43,82,1
341,MTL,2017,223,2459,747,26.3,120,37.6,45.9,67,35,36,82,1
330,NJD,2017,180,2279,803,25.8,-269,20.1,31.7,53,26,33,82,0
357,NSH,2017,238,2557,819,26.9,58,43.9,38.2,61,31,47,82,1
343,NYI,2017,239,2480,638,26.8,24,44.5,31.700000000000003,66,34,43,82,0
338,NYR,2017,253,2438,579,26.4,157,50.0,38.9,59,28,44,82,1
352,OTT,2017,206,2463,824,26.8,19,30.9,41.0,71,27,54,82,1
349,PHI,2017,212,2585,826,26.6,-131,33.0,35.3,61,31,44,82,0
345,PIT,2017,278,2745,685,27.4,197,60.4,34.2,89,44,47,82,1
350,SJS,2017,219,2453,622,27.0,77,36.1,46.2,76,29,47,82,1
344,STL,2017,233,2330,706,26.6,24,42.300000000000004,40.6,75,39,36,82,1
340,TBL,2017,230,2452,857,25.8,-47,40.5,36.8,85,40,56,81,0
331,TOR,2017,250,2617,781,25.5,3,48.9,31.5,69,40,42,82,1
347,VAN,2017,178,2273,638,26.1,-233,19.6,31.8,52,20,35,82,0
333,WPG,2017,246,2448,817,25.2,-1,47.6,28.1,82,36,50,82,0
351,WSH,2017,261,2495,738,26.6,345,54.0,51.7,86,33,63,82,1
383,ANA,2018,231,2475,798,27.7,129,34.9,44.1,69,34,50,80,1
386,ARI,2018,206,2450,628,24.5,-210,25.1,33.8,65,23,42,82,0
362,BOS,2018,267,2703,764,26.9,163,48.1,46.9,85,35,51,82,1
372,BUF,2018,198,2557,653,25.7,-394,22.2,27.0,64,25,39,82,0
385,CAR,2018,225,2780,498,24.7,-143,31.9,34.8,65,29,41,82,0
365,CBJ,2018,236,2761,537,25.8,96,36.0,41.300000000000004,82,27,55,82,1
390,CGY,2018,216,2759,892,26.9,-118,29.0,36.7,84,31,60,82,0
384,CHI,2018,228,2793,597,26.1,-107,33.8,33.2,76,28,49,82,0
389,COL,2018,255,2432,703,24.8,-12,43.8,38.0,97,39,58,81,1
364,DAL,2018,231,2560,814,27.1,56,35.0,43.300000000000004,79,40,59,82,0
376,DET,2018,212,2490,710,27.5,-131,27.2,34.3,63,24,47,82,0
366,EDM,2018,229,2740,742,25.8,-55,33.4,32.2,108,41,67,82,0
369,FLA,2018,245,2822,887,25.9,-12,39.7,35.2,78,31,51,82,0
378,LAK,2018,237,2544,725,27.7,122,36.800000000000004,49.4,92,35,57,82,1
367,MIN,2018,250,2476,664,27.0,109,42.1,40.7,76,42,46,82,1
371,MTL,2018,207,2687,692,26.6,-186,25.6,31.3,54,31,33,82,0
360,NJD,2018,243,2599,670,26.2,-42,39.0,36.9,93,39,54,82,1
387,NSH,2018,261,2641,900,26.7,245,45.9,45.8,64,29,43,82,1
373,NYI,2018,261,2572,621,26.9,-136,46.0,21.6,85,40,63,82,0
368,NYR,2018,228,2538,635,26.2,-210,33.5,29.3,53,27,37,82,0
382,OTT,2018,219,2515,633,26.7,-268,29.8,23.8,62,23,53,82,0
379,PHI,2018,249,2631,663,26.2,67,41.199999999999996,38.0,102,34,68,82,1
375,PIT,2018,270,2823,759,26.6,11,49.199999999999996,35.800000000000004,98,42,60,82,1
380,SJS,2018,247,2702,612,27.7,1,40.7,41.8,67,34,55,82,1
374,STL,2018,223,2677,615,27.2,38,31.5,44.1,70,33,42,82,0
370,TBL,2018,290,2680,739,26.5,258,56.800000000000004,38.4,100,39,61,82,1
361,TOR,2018,270,2640,548,26.7,122,48.8,39.2,69,36,47,82,1
377,VAN,2018,218,2464,692,26.4,-187,29.4,31.8,55,29,47,82,0
388,VEG,2018,268,2686,546,26.3,145,48.8,42.0,78,43,50,82,1
363,WPG,2018,273,2643,667,25.6,205,50.4,44.0,91,44,68,82,1
381,WSH,2018,256,2379,780,26.4,71,44.1,38.5,87,49,56,82,1
414,ANA,2019,196,2271,718,26.2,-181,19.8,35.1,48,24,34,82,0
417,ARI,2019,209,2522,567,25.3,-116,24.7,43.9,47,19,33,82,0
393,BOS,2019,257,2680,783,26.1,127,42.0,46.4,100,38,64,81,1
403,BUF,2019,221,2697,562,25.5,-259,28.9,29.900000000000002,82,40,54,82,0
416,CAR,2019,243,2822,604,24.7,94,37.6,44.9,83,30,55,82,1
396,CBJ,2019,256,2592,498,25.5,90,42.1,41.7,87,41,59,82,1
421,CGY,2019,289,2656,677,25.9,297,54.0,43.9,99,36,63,82,1
415,CHI,2019,267,2669,580,26.1,-62,45.699999999999996,24.1,110,44,66,82,0
420,COL,2019,258,2676,742,25.7,39,42.8,36.8,99,41,58,82,1
395,DAL,2019,209,2519,615,26.9,0,24.6,48.7,80,33,47,82,1
407,DET,2019,224,2394,625,26.6,-174,30.2,28.4,73,32,41,79,0
397,EDM,2019,229,2392,736,26.0,-150,31.900000000000002,29.9,116,50,75,82,0
400,FLA,2019,264,2705,676,26.4,-199,44.7,28.500000000000004,96,36,62,82,0
409,LAK,2019,199,2358,647,26.8,-230,20.5,32.7,60,22,38,82,0
398,MIN,2019,210,2567,626,27.6,-147,24.8,40.8,61,28,40,82,0
402,MTL,2019,246,2796,662,26.8,118,38.8,39.800000000000004,72,33,44,82,0
391,NJD,2019,219,2488,723,25.5,-286,28.6,29.8,50,27,30,82,0
418,NSH,2019,236,2678,656,27.0,169,35.2,46.4,64,34,50,82,1
404,NYI,2019,223,2360,630,27.7,196,29.7,51.0,62,28,44,82,1
399,NYR,2019,221,2393,824,25.5,-171,28.5,29.7,74,30,44,82,0
413,OTT,2019,242,2429,687,25.6,-305,37.0,21.0,62,28,41,81,0
410,PHI,2019,241,2583,715,26.2,-144,36.800000000000004,27.4,85,33,63,82,0
406,PIT,2019,271,2731,661,27.0,95,47.6,37.8,100,40,65,82,1
411,SJS,2019,289,2708,723,27.6,67,54.5,34.7,83,38,67,82,1
405,STL,2019,244,2604,595,27.1,71,37.7,45.0,77,33,49,82,1
401,TBL,2019,319,2620,763,26.5,298,65.2,43.4,128,45,87,82,1
392,TOR,2019,286,2736,481,26.1,143,53.3,35.0,94,47,68,82,1
408,VAN,2019,219,2433,715,25.6,-135,27.8,34.9,66,28,38,82,0
419,VEG,2019,246,2814,573,27.5,90,38.3,42.6,59,25,34,82,1
394,WPG,2019,270,2557,745,25.6,60,47.0,36.6,91,38,71,82,1
412,WSH,2019,274,2492,710,27.1,143,48.5,36.5,89,51,57,82,1
30,ANA,2020,210,2432,816,26.3,-122,25.41,33.15,49,30,33,82,0
31,ARI,2020,222,2600,513,26.8,-10,29.87,44.05,52,25,39,82,1
32,BOS,2020,265,2632,775,26.6,201,45.69,49.55,111,56,69,82,1
33,BUF,2020,229,2401,552,26.0,-85,32.09,34.46,92,42,49,82,0
34,CAR,2020,261,2726,684,26.2,82,44.74,42.09,79,45,57,82,1
35,CBJ,2020,210,2661,517,24.8,-19,24.83,45.69,57,24,36,82,1
36,CGY,2020,238,2591,701,26.9,-108,35.73,35.73,71,33,46,82,1
37,CHI,2020,243,2608,620,25.7,-28,38.07,33.39,98,38,59,82,1
38,COL,2020,276,2643,673,25.9,226,50.02,43.46,108,41,67,82,1
39,DAL,2020,211,2511,653,27.7,15,25.43,46.7,59,23,39,82,1
40,DET,2020,164,2222,666,27.0,-575,7.62,20.44,61,24,39,82,0
41,EDM,2020,257,2425,640,26.9,-125,43.31,36.03,127,49,77,82,1
42,FLA,2020,270,2677,575,26.5,-11,48.96,31.14,92,34,65,82,1
43,LAK,2020,207,2723,547,26.3,-148,24.25,37.49,72,24,48,82,0
44,MIN,2020,259,2468,641,27.5,2,44.09,33.99,64,29,47,82,1
45,MTL,2020,240,2797,600,26.4,-12,36.61,34.88,70,25,45,82,1
46,NJD,2020,219,2515,767,25.6,-254,28.88,30.42,53,29,36,82,0
47,NSH,2020,251,2717,705,27.6,45,40.41,34.46,77,24,58,82,1
48,NYI,2020,227,2431,674,27.6,7,31.96,40.88,72,31,49,82,1
49,NYR,2020,272,2547,886,25.2,50,49.67,32.8,111,48,73,82,1
50,OTT,2020,219,2510,748,25.6,-146,28.18,27.72,50,27,38,82,0
51,PHI,2020,269,2574,606,26.0,139,47.66,42.66,72,28,52,82,1
52,PIT,2020,262,2619,597,27.2,82,45.4,42.31,87,32,58,82,1
53,SJS,2020,210,2461,821,26.8,-289,26.24,32.8,57,30,39,82,0
54,STL,2020,257,2516,560,26.8,131,43.19,44.81,70,28,56,82,1
55,TBL,2020,284,2549,811,27.3,238,53.18,42.87,99,38,60,82,1
56,TOR,2020,277,2696,534,25.4,64,50.25,31.75,93,55,59,82,1
57,VAN,2020,266,2558,738,26.5,-43,46.23,33.28,85,32,53,82,1
58,VEG,2020,258,2829,625,27.1,113,43.43,39.15,76,36,48,82,1
59,WPG,2020,246,2566,583,25.9,35,38.11,39.96,84,43,50,82,1
60,WSH,2020,280,2621,811,27.5,131,51.46,35.41,89,57,71,82,1
61,ANA,2021,181,2196,717,26.6,-224,16.99,31.04,48,23,27,82,0
62,ARI,2021,219,2252,629,26.1,-231,31.34,32.36,62,29,39,82,0
63,BOS,2021,240,2732,774,26.6,139,38.8,49.93,101,42,58,82,1
64,BUF,2021,196,2331,483,26.0,-458,21.67,21.96,58,36,27,82,0
65,CAR,2021,256,2626,588,26.2,169,44.81,49.79,83,35,48,82,1
66,CBJ,2021,196,2379,540,25.9,-297,21.52,27.24,64,26,38,82,0
67,CGY,2021,226,2473,651,26.8,-27,34.12,38.36,71,27,43,82,0
68,CHI,2021,232,2394,518,25.1,-209,35.29,26.94,96,46,74,82,0
69,COL,2021,288,2836,710,26.3,341,57.84,52.86,96,43,65,82,1
70,DAL,2021,228,2487,579,27.5,32,34.26,43.34,74,36,42,82,0
71,DET,2021,183,2237,576,27.4,-178,16.99,33.53,38,16,35,82,0
72,EDM,2021,267,2451,617,27.1,52,49.2,40.56,153,48,105,82,1
73,FLA,2021,275,2861,817,25.9,196,52.71,42.02,89,38,60,82,1
74,LAK,2021,207,2323,552,25.2,-244,26.94,34.56,73,24,54,82,0
75,MIN,2021,263,2320,717,28.0,161,47.88,38.8,74,39,38,82,1
76,MTL,2021,231,2556,660,27.2,1,35.73,36.46,64,41,43,82,1
77,NJD,2021,212,2360,509,24.8,-191,28.55,24.75,51,24,33,82,0
78,NSH,2021,229,2549,762,26.7,45,33.26,42.37,50,19,37,82,1
79,NYI,2021,222,2376,533,28.1,147,32.36,52.42,65,26,42,82,1
80,NYR,2021,257,2353,806,24.7,90,45.25,40.12,84,35,61,82,0
81,OTT,2021,226,2435,730,25.2,-200,33.53,25.77,52,30,36,82,0
82,PHI,2021,234,2477,645,25.7,-185,36.75,22.4,62,29,49,82,0
83,PIT,2021,282,2465,563,27.4,254,54.62,40.12,90,35,55,82,1
84,SJS,2021,213,2462,711,26.2,-270,29.43,22.84,71,32,39,82,0
85,STL,2021,244,2375,647,26.9,4,40.41,35.14,84,35,57,82,1
86,TBL,2021,263,2477,856,27.1,142,47.59,44.95,70,33,52,82,1
87,TOR,2021,272,2563,556,27.3,275,51.25,44.37,98,60,68,82,1
88,VAN,2021,216,2385,777,26.2,-235,29.87,26.94,71,33,55,82,0
89,VEG,2021,278,2678,568,27.2,385,53.59,55.2,89,35,58,82,1
90,WPG,2021,248,2432,574,26.6,49,42.02,40.56,92,38,61,82,1
91,WSH,2021,275,2411,757,28.9,92,52.57,38.22,77,35,55,82,1
508,ANA,2022,228,2393,745,26.0,-222,28.5,33.1,67,37,38,82,0
511,ARI,2022,206,2121,828,26.4,-345,20.7,21.8,63,28,44,82,0
486,BOS,2022,253,2962,793,27.4,129,37.6,48.2,80,40,48,82,1
496,BUF,2022,229,2451,653,25.8,-281,28.5,28.3,68,38,40,80,0
510,CAR,2022,277,2798,730,26.6,292,45.8,53.4,81,37,44,82,1
489,CBJ,2022,258,2463,625,25.0,-170,38.9,24.700000000000003,62,28,56,82,0
515,CGY,2022,291,2908,720,27.8,362,50.7,51.7,115,42,75,82,1
509,CHI,2022,213,2362,622,25.2,-356,22.5,28.2,92,41,66,82,0
514,COL,2022,308,2874,724,26.5,272,57.0,42.699999999999996,92,36,59,81,1
488,DAL,2022,233,2486,541,28.0,-118,29.9,40.2,81,41,54,82,1
500,DET,2022,227,2414,721,26.6,-331,27.8,22.8,69,31,43,82,0
490,EDM,2022,285,2790,646,27.9,100,49.0,38.2,123,55,79,82,1
493,FLA,2022,337,3062,822,26.8,390,67.1,40.4,115,39,85,81,1
502,LAK,2022,235,2865,623,25.7,63,30.1,44.2,67,35,48,81,1
491,MIN,2022,305,2666,862,27.1,320,55.7,38.3,108,47,61,82,1
495,MTL,2022,218,2442,814,26.5,-335,25.0,20.5,61,23,40,82,0
484,NJD,2022,245,2562,644,24.6,-266,34.8,24.6,73,26,47,82,0
512,NSH,2022,262,2439,1015,26.2,23,41.0,38.3,96,43,73,82,1
497,NYI,2022,229,2367,715,29.2,-81,29.0,41.7,59,37,44,82,0
492,NYR,2022,250,2392,665,25.9,146,36.4,50.2,96,52,74,82,1
507,OTT,2022,224,2463,808,25.3,-205,27.1,34.0,67,35,37,81,0
503,PHI,2022,210,2539,725,26.5,-311,22.0,26.1,52,24,36,82,0
499,PIT,2022,269,2849,556,27.7,143,42.699999999999996,44.2,84,40,58,82,1
506,SEA,2022,213,2380,686,26.9,-253,22.7,31.0,50,27,28,82,0
504,SJS,2022,211,2400,703,26.0,-301,22.1,35.8,76,35,44,82,0
498,STL,2022,309,2492,597,27.2,190,57.0,40.9,82,34,57,81,1
494,TBL,2022,285,2535,879,27.6,197,48.7,44.4,106,42,65,82,1
485,TOR,2022,312,2835,672,27.1,175,58.4,38.3,106,60,62,82,1
501,VAN,2022,246,2622,639,26.7,61,34.699999999999996,42.3,99,32,67,82,0
513,VEG,2022,262,2830,616,26.1,112,40.8,40.5,66,30,43,80,0
487,WPG,2022,250,2645,708,25.9,-11,36.1,36.199999999999996,93,47,46,81,0
505,WSH,2022,270,2577,613,27.6,119,43.2,41.7,90,50,54,79,1
540,ANA,2023,206,2326,899,26.2,-441,20.0,16.1,65,23,42,82,0
543,ARI,2023,225,2119,938,25.4,-164,27.3,26.2,86,37,49,82,0
518,BOS,2023,301,2703,847,28.5,487,53.4,59.1,113,61,52,82,1
528,BUF,2023,293,2665,588,25.5,-65,50.3,26.7,94,47,58,82,0
542,CAR,2023,262,2852,602,28.1,182,39.7,52.6,71,36,43,82,1
521,CBJ,2023,213,2399,644,24.9,-502,21.9,18.7,74,26,53,80,0
547,CGY,2023,258,2948,737,27.7,39,38.0,41.4,73,34,42,82,0
541,CHI,2023,202,2210,689,26.7,-433,18.4,26.5,49,20,31,81,0
546,COL,2023,274,2727,659,27.4,166,43.699999999999996,46.1,111,55,69,82,1
520,DAL,2023,281,2617,623,27.0,212,46.2,48.699999999999996,109,46,63,82,1
532,DET,2023,237,2312,648,25.9,-195,30.7,32.8,79,32,47,82,0
522,EDM,2023,325,2754,688,27.3,197,62.4,37.4,153,64,89,82,1
525,FLA,2023,288,3019,974,27.3,100,49.1,34.0,109,42,69,82,1
534,LAK,2023,274,2658,699,26.1,74,43.9,39.6,74,41,49,82,1
523,MIN,2023,239,2535,901,27.4,46,31.4,46.3,75,40,45,82,1
527,MTL,2023,227,2237,927,25.7,-227,27.2,24.7,66,26,40,82,0
516,NJD,2023,289,2821,610,25.3,277,49.0,47.9,99,43,56,82,1
544,NSH,2023,223,2416,767,26.6,-52,25.8,41.7,59,22,41,82,0
529,NYI,2023,242,2524,648,27.3,122,32.2,47.199999999999996,75,36,39,82,1
524,NYR,2023,273,2582,605,26.9,191,43.0,48.7,92,39,63,82,1
539,OTT,2023,259,2746,977,25.7,-140,38.9,34.1,90,39,51,82,0
535,PHI,2023,220,2413,841,25.9,-166,25.4,33.1,61,31,36,82,0
531,PIT,2023,261,2818,687,29.0,-52,39.4,35.300000000000004,93,36,60,82,0
538,SEA,2023,289,2497,672,27.4,213,49.2,40.4,70,40,50,82,1
536,SJS,2023,233,2415,647,26.7,-411,29.400000000000002,21.400000000000002,101,31,76,82,0
530,STL,2023,260,2341,629,27.2,-150,38.7,26.8,73,37,47,82,0
526,TBL,2023,280,2621,971,28.1,35,45.8,38.7,113,51,83,82,1
517,TOR,2023,278,2628,675,27.1,190,45.0,48.1,99,40,69,82,1
533,VAN,2023,270,2438,710,25.6,-119,41.8,28.1,102,39,69,81,0
545,VEG,2023,267,2587,583,27.4,189,40.8,45.2,66,28,49,82,1
519,WPG,2023,246,2486,689,27.0,20,34.5,46.6,80,42,60,82,1
537,WSH,2023,253,2549,705,28.7,-125,36.2,36.3,75,42,43,82,0
